Word		Frequency
i	|	87
the	|	78
and	|	56
to	|	44
was	|	41
a	|	40
of	|	32
you	|	27
it	|	25
that	|	23
my	|	22
in	|	21
at	|	16
all	|	15
on	|	15
she	|	15
he	|	14
they	|	13
me	|	13
if	|	12
this	|	12
around	|	12
got	|	12
didn't	|	12
with	|	11
about	|	10
know	|	10
were	|	10
like	|	9
or	|	9
just	|	9
pencey	|	9
we	|	9
see	|	9
had	|	8
but	|	8
have	|	8
as	|	8
old	|	8
back	|	8
what	|	7
out	|	7
he's	|	7
even	|	7
for	|	7
up	|	7
want	|	6
probably	|	6
don't	|	6
pretty	|	6
quite	|	6
all.	|	6
when	|	6
it.	|	6
game	|	6
way	|	6
right	|	6
wasn't	|	6
before	|	5
whole	|	5
from	|	5
over	|	5
his	|	5
because	|	5
me.	|	5
could	|	5
her	|	5
sort	|	5
down	|	5
get	|	5
really	|	4
hear	|	4
where	|	4
how	|	4
kind	|	4
place,	|	4
two	|	4
told	|	4
them.	|	4
they're	|	4
not	|	4
i'm	|	4
goddam	|	4
too	|	4
next	|	4
one	|	4
do	|	4
damn	|	4
never	|	4
other	|	4
came	|	4
anyway,	|	4
very	|	4
pencey.	|	4
only	|	4
no	|	4
felt	|	4
getting	|	4
so	|	4
out.	|	4
mr.	|	4
mrs.	|	4
said.	|	4
it,	|	3
is	|	3
parents	|	3
me,	|	3
feel	|	3
going	|	3
stuff	|	3
especially	|	3
nice	|	3
tell	|	3
last	|	3
christmas	|	3
come	|	3
that's	|	3
practically	|	3
go	|	3
can	|	3
near	|	3
be	|	3
left	|	3
school	|	3
anyway.	|	3
always	|	3
guy	|	3
horse	|	3
once	|	3
been	|	3
any	|	3
more	|	3
football	|	3
saxon	|	3
hall	|	3
supposed	|	3
big	|	3
standing	|	3
hell	|	3
hill,	|	3
crazy	|	3
hardly	|	3
girls	|	3
liked	|	3
was.	|	3
knew	|	3
fencing	|	3
good-by	|	3
academic	|	3
kept	|	3
spencer	|	3
"how	|	3
spencer?"	|	3
first	|	2
thing	|	2
an	|	2
into	|	2
truth.	|	2
second	|	2
anything	|	2
touchy	|	2
that,	|	2
saying	|	2
also	|	2
anything.	|	2
here	|	2
take	|	2
mean	|	2
every	|	2
week	|	2
home	|	2
those	|	2
little	|	2
him	|	2
four	|	2
thousand	|	2
lot	|	2
to.	|	2
used	|	2
home.	|	2
wrote	|	2
terrific	|	2
secret	|	2
heard	|	2
wouldn't	|	2
anybody	|	2
look	|	2
it's	|	2
them	|	2
start	|	2
some	|	2
ever	|	2
did	|	2
place.	|	2
molding	|	2
clear-thinking	|	2
school.	|	2
there	|	2
way.	|	2
something	|	2
remember	|	2
top	|	2
thomsen	|	2
there,	|	2
side,	|	2
team	|	2
many	|	2
few	|	2
their	|	2
though.	|	2
her.	|	2
give	|	2
reason	|	2
instead	|	2
i'd	|	2
new	|	2
york	|	2
team.	|	2
we'd	|	2
only,	|	2
off.	|	2
till	|	2
vacation	|	2
that.	|	2
kicked	|	2
after	|	2
applying	|	2
guys	|	2
frequently	|	2
gloves	|	2
coat	|	2
room,	|	2
full	|	2
these	|	2
crooks	|	2
is,	|	2
much.	|	2
leaving	|	2
chucking	|	2
ball	|	2
finally	|	2
least,	|	2
time	|	2
soon	|	2
running	|	2
spencer's	|	2
house.	|	2
ran	|	2
cut	|	2
across	|	2
anything,	|	2
boy,	|	2
said	|	2
are	|	2
think	|	2
"how's	|	2
.	|	2
catcher	|	1
rye	|	1
by	|	1
j.	|	1
d.	|	1
salinger	|	1
you'll	|	1
born,	|	1
lousy	|	1
childhood	|	1
like,	|	1
occupied	|	1
david	|	1
copperfield	|	1
crap,	|	1
bores	|	1
would	|	1
hemorrhages	|	1
apiece	|	1
personal	|	1
father.	|	1
all--i'm	|	1
that--but	|	1
hell.	|	1
besides,	|	1
autobiography	|	1
i'll	|	1
madman	|	1
happened	|	1
run-down	|	1
easy.	|	1
d.b.	|	1
about,	|	1
brother	|	1
hollywood.	|	1
isn't	|	1
far	|	1
crumby	|	1
comes	|	1
visits	|	1
end.	|	1
drive	|	1
month	|	1
maybe.	|	1
jaguar.	|	1
english	|	1
jobs	|	1
hundred	|	1
miles	|	1
hour.	|	1
cost	|	1
bucks.	|	1
dough,	|	1
now.	|	1
use	|	1
regular	|	1
writer,	|	1
book	|	1
short	|	1
stories,	|	1
goldfish,	|	1
case	|	1
him.	|	1
best	|	1
"the	|	1
goldfish."	|	1
kid	|	1
let	|	1
goldfish	|	1
he'd	|	1
bought	|	1
own	|	1
money.	|	1
killed	|	1
now	|	1
hollywood,	|	1
d.b.,	|	1
being	|	1
prostitute.	|	1
there's	|	1
hate,	|	1
movies.	|	1
mention	|	1
telling	|	1
day	|	1
prep.	|	1
prep	|	1
agerstown,	|	1
pennsylvania.	|	1
you've	|	1
seen	|	1
ads,	|	1
advertise	|	1
magazines,	|	1
showing	|	1
hotshot	|	1
jumping	|	1
fence.	|	1
play	|	1
polo	|	1
time.	|	1
saw	|	1
anywhere	|	1
underneath	|	1
horse's	|	1
